{1}	{2}	44.44	66.67
{2}	{1}	44.44	57.14
{1}	{3}	44.44	66.67
{3}	{1}	44.44	66.67
{1}	{4}	11.11	16.67
{4}	{1}	11.11	50.00
{1}	{5}	22.22	33.33
{5}	{1}	22.22	100.00
{2}	{3}	44.44	57.14
{3}	{2}	44.44	66.67
{2}	{4}	22.22	28.57
{4}	{2}	22.22	100.00
{2}	{5}	22.22	28.57
{5}	{2}	22.22	100.00
{3}	{5}	11.11	16.67
{5}	{3}	11.11	50.00
{1}	{2,3}	22.22	33.33
{2}	{1,3}	22.22	28.57
{3}	{1,2}	22.22	33.33
{1,2}	{3}	22.22	50.00
{1,3}	{2}	22.22	50.00
{2,3}	{1}	22.22	50.00
{1}	{2,4}	11.11	16.67
{2}	{1,4}	11.11	14.29
{4}	{1,2}	11.11	50.00
{1,2}	{4}	11.11	25.00
{1,4}	{2}	11.11	100.00
{2,4}	{1}	11.11	50.00
{1}	{2,5}	22.22	33.33
{2}	{1,5}	22.22	28.57
{5}	{1,2}	22.22	100.00
{1,2}	{5}	22.22	50.00
{1,5}	{2}	22.22	100.00
{2,5}	{1}	22.22	100.00
{1}	{3,5}	11.11	16.67
{3}	{1,5}	11.11	16.67
{5}	{1,3}	11.11	50.00
{1,3}	{5}	11.11	25.00
{1,5}	{3}	11.11	50.00
{3,5}	{1}	11.11	100.00
{2}	{3,5}	11.11	14.29
{3}	{2,5}	11.11	16.67
{5}	{2,3}	11.11	50.00
{2,3}	{5}	11.11	25.00
{2,5}	{3}	11.11	50.00
{3,5}	{2}	11.11	100.00
{1}	{2,3,5}	11.11	16.67
{2}	{1,3,5}	11.11	14.29
{3}	{1,2,5}	11.11	16.67
{5}	{1,2,3}	11.11	50.00
{1,2}	{3,5}	11.11	25.00
{1,3}	{2,5}	11.11	25.00
{1,5}	{2,3}	11.11	50.00
{2,3}	{1,5}	11.11	25.00
{2,5}	{1,3}	11.11	50.00
{3,5}	{1,2}	11.11	100.00
{1,2,3}	{5}	11.11	50.00
{1,2,5}	{3}	11.11	50.00
{1,3,5}	{2}	11.11	100.00
{2,3,5}	{1}	11.11	100.00
